
2024/05/22 (20:45:08) | ===> btop++ v.1.3.2
2024/05/22 (20:45:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/22 (20:51:01) | ===> btop++ v.1.3.2
2024/05/22 (20:51:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/22 (20:51:04) | ===> btop++ v.1.3.2
2024/05/22 (20:51:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/22 (20:51:09) | ===> btop++ v.1.3.2
2024/05/22 (20:51:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/22 (22:00:20) | ===> btop++ v.1.3.2
2024/05/22 (22:00:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/05/22 (22:00:20) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2024/05/23 (10:01:35) | ===> btop++ v.1.3.2
2024/05/23 (10:01:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/05/23 (10:01:35) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2024/05/23 (10:01:55) | ===> btop++ v.1.3.2
2024/05/23 (10:01:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/05/23 (10:01:55) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2024/05/23 (11:28:42) | ===> btop++ v.1.3.2
2024/05/23 (11:28:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/05/23 (11:28:43) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2024/05/23 (15:49:59) | ===> btop++ v.1.3.2
2024/05/23 (15:49:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/05/23 (15:49:59) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2024/05/23 (17:21:20) | ===> btop++ v.1.3.2
2024/05/23 (17:21:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/05/23 (17:21:20) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2024/05/24 (17:47:09) | ===> btop++ v.1.3.2
2024/05/24 (17:47:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/05/24 (17:47:09) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2024/05/27 (17:53:51) | ===> btop++ v.1.3.2
2024/05/27 (17:53:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/05/27 (17:53:51) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...
